V1,V2
gene955,101718717
gene956,101702000
gene957,101719054
gene958,101700443
gene959,101706151
gene960,110349088
gene961,110348772
gene962,101706513
gene963,110348771
gene964,101707387
gene965,101707740
gene966,101708332
gene967,101708924
gene968,101710603
gene969,106007995
gene970,101709297
gene971,110348787
gene972,110347827
gene973,101719404
gene974,110349090
gene975,101711440
gene976,101711815
gene977,101713722
gene978,101713370
gene979,110348792
gene980,101715956
gene981,110348793
gene982,110348801
gene983,101716754
gene984,101717109
gene985,101717449
gene986,101717781
gene987,110348835
gene988,101720816
gene989,101718135
gene990,110349417
gene991,106010152
gene992,101721157
gene993,101721631
gene994,110348845
gene995,101721977
gene996,101721519
gene997,101722340
gene998,110347831
gene999,101722915
gene1000,101723738
gene1001,101724105
gene1002,101724462
gene1003,101724812
gene1004,110348852
gene1005,101725439
gene1006,101726184
gene1007,101725825
gene1008,101721877
gene1009,101697012
gene1010,101696652
gene1011,101696291
gene1012,101697646
gene1013,101699134
gene1014,110348864
gene1015,110349504
gene1016,101699485
gene1017,101699853
gene1018,110348869
gene1019,101700444
gene1020,101700801
gene1021,101701397
gene1022,101703631
gene1023,101703284
gene1024,101701745
gene1025,101722232
gene1026,101704718
gene1027,110347882
gene1028,101705312
gene1029,101705688
gene1030,101722919
gene1031,110348921
gene1032,101723275
gene1033,101706884
gene1034,101723632
gene1035,101723995
gene1036,101707247
gene1037,101707614
gene1038,110348889
gene1039,110349091
gene1040,110348924
gene1041,101708235
gene1042,110348923
gene1043,101708455
gene1044,101709048
gene1045,110348928
gene1046,101709988
gene1047,101709406
gene1048,110348948
gene1049,110349427
gene1050,101725067
gene1051,101711700
gene1052,101711069
gene1053,110348971
gene1054,110348974
gene1055,101712770
gene1056,106008735
gene1057,110348989
gene1058,101713147
gene1059,101713723
gene1060,101714074
gene1061,101714895
gene1062,101715256
gene1063,101715614
gene1064,110347914
gene1065,101716649
gene1066,101717219
gene1067,101718234
gene1068,106008788
gene1069,110349009
gene1070,110347921
gene1071,101719515
gene1072,101720212
gene1073,101719865
gene1074,101726552
gene1075,101722341
gene1076,101720578
gene1077,106008789
gene1078,110349046
gene1079,101722693
gene1080,110349047
gene1081,101722916
gene1082,110349049
gene1083,110347938
gene1084,110349432
gene1085,101723740
gene1086,101724107
gene1087,101724926
gene1088,101696417
gene1089,110349053
gene1090,110349054
gene1091,101725941
gene1092,110349058
gene1093,101726549
gene1094,110349061
gene1095,101696773
gene1096,101697147
gene1097,101697519
gene1098,101697900
gene1099,110349064
gene1100,101699733
gene1101,101702104
gene1102,106009787
gene1103,106009537
gene1104,101701534
gene1105,110349565
gene1106,110349561
gene1107,110349562
gene1108,101699019
gene1109,101702445
gene1110,110349571
gene1111,101722346
gene1112,101703056
gene1113,110349570
gene1114,110349572
gene1115,110349576
gene1116,101703400
gene1117,101703761
gene1118,101704723
gene1119,110349582
gene1120,101723036
gene1121,106009705
gene1122,101705063
gene1123,101705692
gene1124,101706054
gene1125,101706400
gene1126,110349590
gene1127,101706778
gene1128,110349600
gene1129,101707873
gene1130,101708115
gene1131,101709051
gene1132,101708689
gene1133,101709412
gene1134,110349601
gene1135,110350701
gene1136,101723388
gene1137,101723747
gene1138,101724114
gene1139,101710111
gene1140,101710473
gene1141,110349613
gene1142,101711703
gene1143,101712072
gene1144,101713505
gene1145,101712637
gene1146,101714901
gene1147,101714545
gene1148,101724822
gene1149,101725191
gene1150,101715262
gene1151,101725575
gene1152,110349626
gene1153,101715617
gene1154,101716175
gene1155,101716522
gene1156,101716873
gene1157,106009714
gene1158,110350705
gene1159,101717786
gene1160,106009813
gene1161,101717454
gene1162,110350898
gene1163,101718363
gene1164,106009815
gene1165,106009823
gene1166,101719405
gene1167,110349642
gene1168,101719991
gene1169,101723633
gene1170,101723996
gene1171,101726300
gene1172,106009717
gene1173,101726672
gene1174,101724574
gene1175,101724817
gene1176,101725443
gene1177,101726294
gene1178,110349696
gene1179,101697522
gene1180,101697150
gene1181,101698522
gene1182,101698131
gene1183,101698887
gene1184,101699734
gene1185,101700580
gene1186,101701402
gene1187,101702933
gene1188,101703763
gene1189,101705316
gene1190,101705946
gene1191,106009538
gene1192,101706519
gene1193,101706890
gene1194,101707619
gene1195,101696539
gene1196,101696908
gene1197,101707254
gene1198,106009859
gene1199,101709886
gene1200,101710248
gene1201,101710843
gene1202,101697284
gene1203,101697654
gene1204,101698022
gene1205,101698397
gene1206,110349781
gene1207,101698779
gene1208,101712186
gene1209,106009539
gene1210,101699141
gene1211,101712524
gene1212,101712885
gene1213,110349793
gene1214,101713728
gene1215,101699494
gene1216,101714311
gene1217,110349807
gene1218,101714662
gene1219,101716523
gene1220,101715618
gene1221,101715263
gene1222,110349817
gene1223,101718718
gene1224,101721388
gene1225,101700208
gene1226,101722108
gene1227,101721743
gene1228,106009540
gene1229,106009542
gene1230,110349929
gene1231,101723150
gene1232,110349934
gene1233,110349936
gene1234,110349937
gene1235,101724223
gene1236,101724577
gene1237,101724818
gene1238,101725188
gene1239,101725444
gene1240,101700585
gene1241,101725703
gene1242,101726666
gene1243,110349949
gene1244,106009881
gene1245,101697151
gene1246,101698272
gene1247,110349976
gene1248,101698655
gene1249,101700948
gene1250,101700205
gene1251,101700449
gene1252,101701751
gene1253,101702107
gene1254,110349990
gene1255,101702934
gene1256,110349998
gene1257,101703634
gene1258,101704377
gene1259,101705947
gene1260,106009543
gene1261,101705570
gene1262,106009888
gene1263,106009889
gene1264,101701302
gene1265,110350663
gene1266,101707620
gene1267,110350018
gene1268,106009545
gene1269,101707255
gene1270,101701655
gene1271,106009602
gene1272,101702005
gene1273,110350020
gene1274,101707980
gene1275,101708335
gene1276,106009546
gene1277,101703768
gene1278,110350027
gene1279,101708930
gene1280,101709768
gene1281,101709993
gene1282,106009547
gene1283,106009548
gene1284,110350031
gene1285,106009550
gene1286,101710362
gene1287,101704136
gene1288,101710719
gene1289,110350037
gene1290,101711074
gene1291,101711940
gene1292,101712294
gene1293,101712888
gene1294,110350056
gene1295,106009783
gene1296,101713264
gene1297,101713506
gene1298,101705201
gene1299,101714076
gene1300,101714414
gene1301,106009908
gene1302,101715017
gene1303,101715621
gene1304,101715833
gene1305,101717114
gene1306,101717788
gene1307,101717455
gene1308,110350093
gene1309,101718142
gene1310,110350092
gene1311,101705950
gene1312,101718482
gene1313,110350728
